file,grade,grade_label,year,denomination,detail,contrast,surface,luster,marks,exposure_quality
12d2_e7_3-g4_1904_10-cent_thn.jpg,4,G4,1904,10-cent,1.0,1.0,0.0,0.9475,1.0,0.0
12d1_vl_8-au50_1886_10-cent_thn.jpg,50,AU50,1886,10-cent,1.0,1.0,0.0,1.0,1.0,0.0
12g1_vd_1-f2_1898_50-cent_thn.jpg,2,F2,1898,50-cent,1.0,1.0,0.0,1.0,0.915103465887047,0.0
12g3_g5_3-g4_1911_50-cent_thn.jpg,4,G4,1911,50-cent,0.879452252036251,1.0,0.0,1.0,0.5557602533356047,0.0
12c2_e7_9-ms63_1910_5-cent_thn.jpg,63,MS63,1910,5-cent,1.0,1.0,0.0,1.0,1.0,0.0
12f3_g5_9-ms64_1936_25-cent_thn.jpg,64,MS64,1936,25-cent,1.0,1.0,0.0,1.0,1.0,0.0
12c1_vl_6-vf20_1894_5-cent_thn.jpg,20,VF20,1894,5-cent,0.5984545979690239,0.8455262971967832,0.0,1.0,0.3224999923493354,0.0
12g3_g5_9-ms63_1919_50-cent_thn.jpg,63,MS63,1919,50-cent,1.0,1.0,0.0,1.0,0.9509425788724009,0.0
12c3_g5b_9-ms66_1929_5-cent_thn.jpg,66,MS66,1929,5-cent,1.0,1.0,0.0,1.0,1.0,0.0
12f1_vd_6-vf20_1893_25-cent_thn.jpg,20,VF20,1893,25-cent,0.6711070355884277,0.9660621843352445,0.0,1.0,0.3996866967864829,0.0
12g3_g5_7-ef40_1911_50-cent_thn.jpg,40,EF40,1911,50-cent,1.0,1.0,0.0,1.0,1.0,0.0
12g3_g5_9-ms61_1920_50-cent_thn.jpg,61,MS61,1920,50-cent,0.7845998321772768,1.0,0.0,0.8125,0.4292012604214802,0.0
12d4_g6_9-ms66_1948_10-cent_thn.jpg,66,MS66,1948,10-cent,1.0,1.0,0.0,0.97,0.22529688262055778,0.0
12f1_vd_9-ms67_1874h_25-cent_thn.jpg,67,MS67,1874h,25-cent,1.0,1.0,0.0,1.0,1.0,0.0
12d3_g5_9-ms67_1912_10-cent_thn.jpg,67,MS67,1912,10-cent,1.0,1.0,0.0,1.0,1.0,0.0
12g2_e7_4-vg08_1910_50-cent_thn.jpg,8,VG08,1910,50-cent,1.0,1.0,0.0,1.0,1.0,0.0
12h1_g5_9-ms67_1935_1-dollar_thn.jpg,67,MS67,1935,1-dollar,0.9440681185794672,1.0,0.0,0.91,0.4679419587718723,0.0
12d2_e7_9-ms61_1909_10-cent_thn.jpg,61,MS61,1909,10-cent,0.7190204497627906,0.9991244978669281,0.0,1.0,0.4853288023264366,0.0
12a2_vd_8-au58_1891_1-cent_thn.jpg,58,AU58,1891,1-cent,1.0,1.0,0.0,1.0,0.8152027885142104,0.0
12c2_e7_8-au50_1909_5-cent_thn.jpg,50,AU50,1909,5-cent,1.0,1.0,0.0,1.0,1.0,0.0
12c2_e7_3-g4_1903_5-cent_thn.jpg,4,G4,1903,5-cent,0.450315199717036,0.4105079149783646,0.0,1.0,0.0,0.0
12c3_g5a_9-ms64_1919_5-cent_thn.jpg,64,MS64,1919,5-cent,1.0,1.0,0.0,1.0,1.0,0.0
12c1_vl_9-ms61_1886_5-cent_thn(1).jpg,61,MS61,1886,5-cent,1.0,1.0,0.0,1.0,1.0,0.0
12f2_e7_9-ms67_1908_25-cent_thn.jpg,67,MS67,1908,25-cent,1.0,1.0,0.0,1.0,1.0,0.0
12h1_g5_8-au55_1935_1-dollar_thn.jpg,55,AU55,1935,1-dollar,1.0,1.0,0.0,1.0,1.0,0.0
12h2_g5_9-ms65_1936_1-dollar_thn.jpg,65,MS65,1936,1-dollar,0.9983090209264192,1.0,0.0,1.0,0.5449699827593693,0.0
12d2_e7_8-au50_1902_10-cent_thn.jpg,50,AU50,1902,10-cent,0.9233040546638022,0.996406449603343,0.0,0.955,0.6322215614314927,0.0
12a2_vd_7-ef40_1882h_1-cent_thn.jpg,40,EF40,1882h,1-cent,1.0,1.0,0.0,1.0,1.0,0.0
12f2_e7_9-ms60_1909_25-cent_thn.jpg,60,MS60,1909,25-cent,0.9234752997693768,1.0,0.0,1.0,0.6428078142867488,0.0
12a3_e7_8-au53_1907_1-cent_thn.jpg,53,AU53,1907,1-cent,0.8849155794373348,1.0,0.0,1.0,0.8948150369674444,0.0
12d3_g5_9-ms61_1931_10-cent_thn.jpg,61,MS61,1931,10-cent,0.8823994797793266,1.0,0.0,1.0,0.8308214784869546,0.0
12d3_g5_6-vf30_1911_10-cent_thn.jpg,30,VF30,1911,10-cent,1.0,1.0,0.0,0.9775,1.0,0.0
12c2_e7_8-au53_1909_5-cent_thn.jpg,53,AU53,1909,5-cent,1.0,1.0,0.0,1.0,1.0,0.0
12h3_g6_9_ms64_1950_1-dollar_thn.jpg,64,MS64,1950,1-dollar,1.0,1.0,0.0,1.0,0.9469528989954733,0.0
12g1_vd_9-ms67_1871h_50-cent_thn.jpg,67,MS67,1871h,50-cent,1.0,1.0,0.0,1.0,0.9921768271458725,0.0
12d2_e7_9-ms67_1902h_10-cent_thn.jpg,67,MS67,1902h,10-cent,1.0,1.0,0.0,1.0,0.7625888851372298,0.0
